State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Anantapur,Dharmavaram,Red Gram,Local,FAQ,13-03-2007,1800,1850,1825,7
Andhra Pradesh,Anantapur,Dharmavaram,Red Gram,Local,FAQ,14-03-2007,1600,1860,1700,7
Andhra Pradesh,Anantapur,Gooti,Red Gram,Local,FAQ,25-02-2006,1420,1450,1435,7
Andhra Pradesh,Anantapur,Gooti,Red Gram,Local,FAQ,28-02-2006,1400,1500,1435,7
Andhra Pradesh,Anantapur,Gooti,Red Gram,Local,FAQ,22-02-2006,1400,1500,1450,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,05-01-2007,1500,1600,1550,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,18-01-2007,1750,1800,1775,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,20-01-2007,1750,1800,1775,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,06-02-2007,2100,2200,2150,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,01-03-2007,1900,1950,1925,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,06-03-2007,1800,1900,1850,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,08-03-2007,1800,1900,1850,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,11-05-2007,1900,2000,1950,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,15-05-2007,2000,2100,2050,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,19-05-2007,1900,2000,1950,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,12-07-2007,2000,2100,2050,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,25-07-2007,2000,2100,2050,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,12-09-2007,2000,2100,2050,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,28-02-2006,1500,1520,1510,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,03-03-2006,1400,1550,1475,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,06-03-2006,1580,1600,1590,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,08-03-2006,1580,1600,1590,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,14-03-2006,1550,1570,1560,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,19-03-2006,1530,1560,1545,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,28-03-2006,1620,1673,1640,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,29-03-2006,1600,1670,1635,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,01-04-2006,1680,1701,1690,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,11-04-2006,1600,1650,1625,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,15-04-2006,1600,1650,1625,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,18-04-2006,1670,1700,1685,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,25-04-2006,1500,1600,1550,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,26-04-2006,1500,1600,1550,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,03-05-2006,1600,1650,1625,7
Andhra Pradesh,Anantapur,Guntakal,Red Gram,Local,FAQ,11-05-2006,1600,1700,1650,7
