State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Badvel,Red Gram,Other,FAQ,31-12-2002,1228,1366,1321,7
Andhra Pradesh,Cuddapah,Badvel,Red Gram,Ordinary (Split),FAQ,26-08-2006,2000,2200,2100,7
Andhra Pradesh,Cuddapah,Badvel,Red Gram,Big (Bhopal) (Split),FAQ,25-02-2006,1400,1800,1600,7
Andhra Pradesh,Cuddapah,Badvel,Red Gram,Other,FAQ,14-08-2002,1546,1546,1546,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,02-03-2005,1400,1900,1700,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-08-2005,1542,1722,1675,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,24-08-2005,1490,1671,1649,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,25-08-2005,1540,1708,1690,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,26-08-2005,1513,1699,1665,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,06-09-2005,1513,1669,1659,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,12-09-2005,1466,1665,1624,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,14-09-2005,1414,1500,1500,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-09-2005,1592,1636,1595,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,22-09-2005,1515,1705,1690,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-10-2005,1605,1783,1731,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,11-10-2005,1707,1764,1761,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,06-12-2005,1500,1903,1829,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,07-12-2005,1521,1821,1750,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,15-12-2005,1581,1721,1655,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,16-12-2005,1650,1790,1700,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,17-12-2005,1499,1771,1690,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-12-2005,1500,1710,1696,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,21-12-2005,1642,1815,1652,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,12-08-2005,2050,2250,2250,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,22-08-2005,2000,2200,2200,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,16-09-2005,2000,2100,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,18-09-2005,2000,2100,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,11-04-2007,2200,2240,2220,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,13-04-2007,2195,2300,2248,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,24-04-2007,2125,2230,2178,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,26-04-2007,2070,2170,2120,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,07-05-2007,2120,2200,2160,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,22-05-2007,2020,2155,2088,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,21-06-2007,2080,2115,2098,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,23-06-2007,2075,2125,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,28-06-2007,2170,2250,2210,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,30-06-2007,2155,2255,2205,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,11-07-2007,2110,2235,2173,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,18-07-2007,2105,2260,2183,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,20-07-2007,2155,2205,2180,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,04-01-2006,1650,1803,1795,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,07-01-2006,1562,1840,1801,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,13-01-2006,1580,1780,1725,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,23-01-2006,1436,1768,1670,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,24-01-2006,1300,1820,1716,7
