State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,10-01-2014,4150,4200,4170,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,18-01-2014,4150,4200,4180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,25-01-2014,4050,4100,4070,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,11-02-2014,4200,4300,4250,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,07-03-2014,3850,3900,3870,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,09-03-2014,3800,3850,3820,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,23-03-2014,3800,3900,3850,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,26-03-2014,3900,4000,3950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,30-03-2014,3900,4000,3950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-04-2014,3900,4000,3950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,02-04-2014,3850,3950,3900,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,05-04-2014,3900,4000,3950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,13-04-2014,3950,4000,3970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,15-04-2014,3950,4000,3970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-04-2014,3950,4000,3970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,23-04-2014,3900,4000,3950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-05-2014,3950,4000,3970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-05-2014,4000,4100,4050,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-05-2014,4000,4100,4050,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,22-05-2014,4000,4100,4050,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,27-05-2014,4050,4100,4080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,06-06-2014,4050,4100,4070,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,08-06-2014,4050,4100,4080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,12-06-2014,4000,4050,4030,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-06-2014,4050,4100,4070,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,22-06-2014,4050,4100,4070,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,04-07-2014,4150,4200,4180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-07-2014,4200,4300,4250,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-07-2014,4200,4300,4250,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-07-2014,4350,4400,4370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,30-07-2014,4450,4500,4470,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,31-07-2014,4450,4500,4480,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-08-2014,4450,4500,4470,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,03-08-2014,4450,4500,4470,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,07-08-2014,4400,4500,4450,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-08-2014,4400,4500,4450,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,20-08-2014,4550,4600,4570,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,22-08-2014,4550,4600,4580,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,29-08-2014,4900,5000,4950,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,13-09-2014,4950,5000,4970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,08-10-2014,4950,5000,4970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,18-10-2014,4950,5000,4980,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-10-2014,4950,5000,4970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,12-11-2014,5150,5200,5180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,15-11-2014,5050,5100,5080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-11-2014,5150,5200,5170,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,20-11-2014,5250,5300,5280,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-11-2014,5250,5300,5280,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-12-2014,5100,5150,5120,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,02-12-2014,5100,5150,5120,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,03-12-2014,5100,5150,5120,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,05-12-2014,5080,5120,5100,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,08-12-2014,5080,5130,5100,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,09-12-2014,5100,5150,5120,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,13-12-2014,5250,5300,5270,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,14-12-2014,5250,5300,5270,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-12-2014,5250,5300,5280,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,25-12-2014,5250,5300,5270,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,31-12-2014,5250,5300,5280,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,14-01-2016,7000,7050,7030,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-01-2016,7000,7050,7020,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,26-01-2016,7000,7050,7020,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-01-2016,7000,7050,7020,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,31-01-2016,7050,7100,7080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,06-02-2016,6950,7000,6970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,12-02-2016,6950,7000,6980,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,13-02-2016,6950,7000,6980,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,15-02-2016,6950,7000,6970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,18-02-2016,6950,7000,6980,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,20-02-2016,6950,7000,6970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-02-2016,7050,7100,7080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,03-03-2016,7050,7100,7080,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,13-01-2015,5350,5400,5380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-01-2015,5350,5400,5380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,18-01-2015,5350,5400,5370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,20-01-2015,5250,5300,5280,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,21-01-2015,5200,5250,5220,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,25-01-2015,5300,5350,5320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,30-01-2015,5350,5400,5380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-02-2015,5350,5400,5370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,04-02-2015,5350,5400,5380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,10-02-2015,5300,5350,5320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,16-02-2015,5300,5350,5320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-02-2015,5300,5350,5320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-03-2015,5750,5800,5770,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-03-2015,5750,5800,5770,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,31-03-2015,5750,5800,5780,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,08-04-2015,5850,5900,5880,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,12-04-2015,5950,6000,5980,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,15-04-2015,5950,6000,5970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-04-2015,6050,6100,6070,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-04-2015,6950,7000,6970,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,06-05-2015,6450,6500,6470,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,17-05-2015,7200,7250,7220,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-05-2015,7200,7250,7220,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,21-05-2015,7150,7200,7180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,23-05-2015,7150,7200,7180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,24-05-2015,7150,7200,7180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,27-05-2015,7150,7200,7180,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-05-2015,7150,7200,7170,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,05-06-2015,7300,7350,7320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,07-06-2015,7300,7350,7320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,15-06-2015,7300,7350,7320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,18-06-2015,7250,7300,7270,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,02-07-2015,7300,7350,7320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,12-07-2015,7350,7400,7370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-07-2015,7400,7450,7430,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,27-07-2015,7350,7400,7380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-07-2015,7350,7400,7380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,01-08-2015,7350,7400,7380,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,03-08-2015,7350,7400,7370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,04-08-2015,7300,7350,7320,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,09-08-2015,7350,7400,7370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,14-08-2015,7350,7400,7370,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,19-08-2015,8450,8500,8480,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,28-08-2015,9800,10000,9900,7
Andhra Pradesh,Prakasam,Addanki,Red Gram,Local,Medium,31-08-2015,9750,9800,9770,7
